"logFC" "logCPM" "LR" "PValue" "FDR"
"K01191" 0.624505432352363 9.4457014701957 23.7312123222263 1.10771424079709e-06 0.0018469477334179
"K01186" 1.15072055396968 7.58069668754199 22.9311996693723 1.67904339401627e-06 0.0018469477334179
"K01708" -1.16479157216029 6.91461261111187 19.8071603115561 8.56611791407242e-06 0.0056298680460031
"K13040" -1.34234065614794 7.54356325843257 19.4668423082218 1.02361237200056e-05 0.0056298680460031
"K07481" -1.55650141831264 8.30655217811962 18.9019338611596 1.37613095860639e-05 0.0060549762178681
"K02224" -0.628957926192666 8.98308013845813 17.8387424284247 2.40437506284543e-05 0.00881604189709993
"K12308" -0.51770222873307 9.87100621342186 15.3334085736732 9.0108788985901e-05 0.0283199051098546
"K15898" 0.991675770384008 7.20905130701768 14.0306355082941 0.000179856357316551 0.0494604982620516
"K14731" 1.14098700174379 6.81019633388539 11.6742744047757 0.000633702504058658 0.154905056547672
"K01804" -0.50714696824339 9.13388628543786 10.6385560857575 0.0011075411199103 0.243659046380265
"K01839" 0.419567698082815 9.02691851535359 10.4175211171321 0.00124825331721073 0.249650663442147
"K04751" -0.895519881946946 7.13831829330958 9.94462652949736 0.00161319595360428 0.279706511486344
"K18675" 1.06554029793776 6.50919493731681 9.89997385047707 0.00165281120423748 0.279706511486344
"K07646" -0.481508136629937 8.87038828379716 9.57854369579515 0.00196864499260064 0.298068701783231
"K00971" 0.441062239797233 8.72479715182008 9.52014376474762 0.00203228660306748 0.298068701783231
"K01706" -0.736522481243777 7.3648958286678 9.36471273046172 0.00221202663959899 0.304153662944861
"K22424" 1.09898014039363 6.67866789505337 9.22024540526126 0.00239353461997143 0.309751539055127
"K01448" 0.426947982062955 10.4822385174172 8.89846347625374 0.00285410721318579 0.330927058647901
"K01443" 0.349525079701986 9.59338099179451 8.88313225764461 0.00287817330061137 0.330927058647901
"K04023" -1.00886602326124 7.11166984757035 8.80235006100961 0.00300842780589001 0.330927058647901
"K00042" -0.851904221408343 7.38302293813838 8.54516187125357 0.00346441791669846 0.352049748829436
"K01667" -0.74179785095338 7.18628415740794 8.49742706778808 0.00355649042782136 0.352049748829436
"K08659" -0.793585797610089 7.21392051035177 8.43507347336381 0.00368052010139865 0.352049748829436
"K22373" -1.38433107281647 7.00093378944213 8.25032724608509 0.0040744654880477 0.363024221335648
"K02050" 0.312273899445919 9.50397873325309 8.12337756299224 0.00436980719058538 0.363024221335648
"K17865" 1.05049309486183 6.59936675355871 8.05029743924855 0.00454961840510365 0.363024221335648
