Diet	High	Low	High	Low	High	Low	High	Low	High	Low	High	Low
Litter	A	A	A	A	B	B	B	B	C	C	C	C
subject_id	A1HF	A1LF	A2HF	A2LF	B1HF	B1LF	B2HF	B2LF	C1HF	C1LF	C2HF	C2LF
d__Archaea	14175	15220	12008	21072	19752	10737	15043	11691	16214	12784	16090	11757
d__Archaea|p__Candidatus Korarchaeota	2	24	2	10	5	8	16	9	11	20	15	15
d__Archaea|p__Candidatus Korarchaeota|g__Candidatus Korarchaeum	2	24	2	10	5	8	16	9	11	20	15	15
d__Archaea|p__Candidatus Korarchaeota|g__Candidatus Korarchaeum|s__Candidatus Korarchaeum cryptofilum	2	24	2	10	5	8	16	9	11	20	15	15
d__Archaea|p__Candidatus Micrarchaeota	3	34	0	3	13	1	22	7	6	22	17	12
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum	3	34	0	3	13	1	22	7	6	22	17	12
d__Archaea|p__Candidatus Micrarchaeota|g__Candidatus Mancarchaeum|s__Candidatus Mancarchaeum acidiphilum	3	34	0	3	13	1	22	7	6	22	17	12
d__Archaea|p__Crenarchaeota	1302	2605	967	2529	2531	1105	2385	1348	1741	2221	2396	1943
d__Archaea|p__Crenarchaeota|c__Thermoprotei	1302	2605	967	2529	2531	1105	2385	1348	1741	2221	2396	1943
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	20	109	18	87	61	21	99	46	43	105	90	79
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae	10	24	10	57	25	11	28	28	21	31	26	24
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus	10	24	10	57	25	11	28	28	21	31	26	24
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus saccharovorans	6	15	4	22	14	3	13	5	7	18	7	10
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Acidilobaceae|g__Acidilobus|s__Acidilobus sp. 7A	4	9	6	34	11	8	15	23	14	13	19	14
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae	10	85	8	30	36	10	71	18	22	74	64	55
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera	10	85	8	30	36	10	71	18	22	74	64	55
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Caldisphaera|s__Caldisphaera lagunensis	10	85	8	30	36	10	71	18	22	74	64	55
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	560	417	298	568	772	350	609	354	803	325	622	301
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	526	370	264	500	479	292	489	293	598	289	472	254
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum	16	57	9	132	130	37	58	65	99	46	99	43
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum camini	5	39	4	49	11	10	19	38	9	19	23	19
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Aeropyrum|s__Aeropyrum pernix	11	18	5	83	118	27	39	27	89	26	75	23
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus	5	54	7	179	17	31	43	32	13	54	29	35
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus amylolyticus	3	41	3	156	13	13	34	10	10	33	24	25
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Desulfurococcus|s__Desulfurococcus mucosus	2	13	4	23	4	18	9	22	3	21	5	10
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus	6	57	11	10	23	17	50	17	8	48	43	37
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus hospitalis	5	45	11	8	18	15	41	12	7	41	35	29
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus islandicus	1	12	0	2	5	2	9	5	1	7	8	8
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus	489	133	228	147	286	192	308	159	467	102	265	102
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus hellenicus	4	46	4	7	26	5	45	11	4	34	54	32
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Staphylothermus marinus	485	86	224	139	260	187	261	148	462	67	210	70
d__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermogladius	4	32	2	14	10	8	10	12	5	12	19	13
