Protein Index,Protein Index,Uniprot ID,slr,t,score,n,p,p.fdr,pBH,FC,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovhsp,n_duplicates,Duplicate_uniprot_IDS,entry name,protein names,organism,lineage-id,database(KO),database(CAZy),EC
NODE_100_length_80732_cov_39.012519_68,NODE_100_length_80732_cov_39.012519_68,A0A351TPX1,-0.24354884633611,-5.32442556405279,0.000516621217848636,1,0.000516621217848636,0.00139819503913163,0.00139819503913163,-4.48928,tr|A0A351TPX1|A0A351TPX1_9FIRM,86.1,208.0,29.0,0.0,1.0,208.0,1.0,208.0,8.199999999999999e-99,369.4,98.6,,,A0A351TPX1_9FIRM,DUF3666 domain-containing protein,Lachnospiraceae bacterium,1898203,,,
NODE_10033_length_2487_cov_4.811266_2,NODE_10033_length_2487_cov_4.811266_2,R9JBS9,0.142898333500028,3.1515351852979796,0.0120479400356008,1,0.0120479400356008,0.0175947639133774,0.0175947639133774,2.42538,tr|R9JBS9|R9JBS9_9FIRM,85.8,324.0,46.0,0.0,3.0,326.0,8.0,331.0,1.9999999999999993e-176,627.9,99.4,,,R9JBS9_9FIRM,Uncharacterized protein,Lachnospiraceae bacterium A4,397291,,,
NODE_1010_length_28714_cov_50.468021_16,NODE_1010_length_28714_cov_50.468021_16,R9JCV0,-0.0591112160912258,-1.27301375277977,0.23563420428321302,1,0.23563420428321302,0.263303372210409,0.263303372210409,-1.11716666666667,tr|R9JCV0|R9JCV0_9FIRM,91.4,279.0,24.0,0.0,1.0,279.0,1.0,279.0,5.299999999999999e-138,500.0,100.0,,,R9JCV0_9FIRM,3-hydroxybutyryl-CoA dehydrogenase,Lachnospiraceae bacterium A4,397291,,,
NODE_101703_length_374_cov_1.902821_1,NODE_101703_length_374_cov_1.902821_1,R9N9Z1,-0.216619265505477,-3.6223843529929103,0.0057682975434160295,1,0.0057682975434160295,0.00955981896240298,0.00955981896240298,-3.96806333333333,tr|R9N9Z1|R9N9Z1_9FIRM,94.4,124.0,7.0,0.0,1.0,124.0,301.0,424.0,7.5e-60,239.2,100.0,,,R9N9Z1_9FIRM,Uncharacterized protein,Dorea sp. 5-2,1235798,,,
NODE_1017061_length_481_cov_1.500000_1,NODE_1017061_length_481_cov_1.500000_1,,-0.19396963200776302,-4.0319312321350695,0.0031084109772305897,1,0.0031084109772305897,0.00599334142668644,0.00599334142668644,-3.3135066666666697,,,,,,,,,,,,,,,,,,,,,
NODE_1051488_length_501_cov_1.322870_1,NODE_1051488_length_501_cov_1.322870_1,,-0.136018701683915,-2.26228106413815,0.0506502907152847,1,0.0506502907152847,0.0638539989786709,0.0638539989786709,-2.38919333333333,,,,,,,,,,,,,,,,,,,,,
NODE_1054466_length_500_cov_1.723596_2,NODE_1054466_length_500_cov_1.723596_2,,-0.364508482716624,-7.35315265776143,4.874336527084871e-05,1,4.874336527084871e-05,0.00027652486067116097,0.00027652486067116097,-6.51265333333334,,,,,,,,,,,,,,,,,,,,,
NODE_1093315_length_390_cov_1.677612_1,NODE_1093315_length_390_cov_1.677612_1,,-0.0156889001439081,-0.355259199262971,0.7307668157796171,1,0.7307668157796171,0.756407756684165,0.756407756684165,-0.340039999999998,,,,,,,,,,,,,,,,,,,,,
NODE_1096167_length_489_cov_1.679724_2,NODE_1096167_length_489_cov_1.679724_2,,0.292866307050026,6.2340839686497596,0.0001682236580077,1,0.000168223658007701,0.000635333845879695,0.000635333845879695,5.31006333333333,,,,,,,,,,,,,,,,,,,,,
NODE_1102058_length_460_cov_1.604938_1,NODE_1102058_length_460_cov_1.604938_1,,0.304957654009844,6.791591896379,8.912164053840899e-05,1,8.912164053840891e-05,0.000419118815226212,0.000419118815226212,5.54469333333333,,,,,,,,,,,,,,,,,,,,,
NODE_110654_length_1082_cov_1.540409_1,NODE_110654_length_1082_cov_1.540409_1,,-0.156314061466788,-2.6032436651461603,0.0291180049681077,1,0.0291180049681077,0.0381769398470746,0.0381769398470746,-2.80834333333333,,,,,,,,,,,,,,,,,,,,,
NODE_1126875_length_260_cov_1.873171_1,NODE_1126875_length_260_cov_1.873171_1,,0.242246414181251,4.8311730603523495,0.000995850464732924,1,0.000995850464732923,0.00236916037980816,0.00236916037980816,4.34008333333333,,,,,,,,,,,,,,,,,,,,,
NODE_1157523_length_473_cov_3.181818_1,NODE_1157523_length_473_cov_3.181818_1,,0.16254010934222501,2.1745337599501897,0.0583763141407988,1,0.0583763141407988,0.0714564841142558,0.0714564841142558,3.11548333333333,,,,,,,,,,,,,,,,,,,,,
NODE_1196675_length_464_cov_2.200489_1,NODE_1196675_length_464_cov_2.200489_1,,-0.276243327850849,-6.00458947191105,0.000220967837107016,1,0.000220967837107016,0.000759776899948325,0.000759776899948325,-4.977040000000001,,,,,,,,,,,,,,,,,,,,,
NODE_1411020_length_240_cov_1.037838_1,NODE_1411020_length_240_cov_1.037838_1,,-0.0852875013330641,-1.5753428980879,0.15041833485345701,1,0.15041833485345701,0.171989956518488,0.171989956518488,-1.5798933333333303,,,,,,,,,,,,,,,,,,,,,
NODE_1581841_length_368_cov_1.840256_1,NODE_1581841_length_368_cov_1.840256_1,,-0.23643754903543399,-4.2295077687025895,0.00232595609671866,1,0.00232595609671866,0.00469970581186305,0.00469970581186305,-4.26922666666666,,,,,,,,,,,,,,,,,,,,,
NODE_1582938_length_368_cov_1.533546_1,NODE_1582938_length_368_cov_1.533546_1,,-0.146138916225349,-3.17964244906269,0.0115220280806184,1,0.0115220280806184,0.0170803933858414,0.0170803933858414,-2.43867,,,,,,,,,,,,,,,,,,,,,
NODE_1635681_length_311_cov_0.882812_1,NODE_1635681_length_311_cov_0.882812_1,,0.279619168774934,5.55646950747636,0.000383938787375425,1,0.000383938787375425,0.0011557341048545901,0.0011557341048545901,5.0274233333333305,,,,,,,,,,,,,,,,,,,,,
NODE_1648180_length_358_cov_1.584158_2,NODE_1648180_length_358_cov_1.584158_2,,-0.18158003912903398,-3.7610218220246803,0.00466727542624939,1,0.00466727542624939,0.00814701923516905,0.00814701923516905,-3.11449,,,,,,,,,,,,,,,,,,,,,
